ChEMBL_ID,UniProt_Accession
CHEMBL1983268,Q9UBN7
CHEMBL1983268,Q9BZE4
CHEMBL1983268,P51812
CHEMBL1983268,P49840
CHEMBL1983268,Q04759
CHEMBL1983268,O43353
CHEMBL1983268,Q15208
CHEMBL1983268,P31749
CHEMBL1983268,Q13535
CHEMBL1983268,Q16832
CHEMBL1983268,P08581
CHEMBL1983268,Q12866
CHEMBL1983268,P49589
CHEMBL1983268,P08574
CHEMBL1983268,Q9H0A0
CHEMBL1983268,Q9NYL2
CHEMBL1983268,Q9UQM7
CHEMBL1983268,P11274
CHEMBL1983268,O15254
CHEMBL1983268,O75385
CHEMBL1983268,Q9Y2U5
CHEMBL1983268,Q16288
CHEMBL1983268,Q9NSD9
CHEMBL1983268,Q9H2X6
CHEMBL1983268,P04629
CHEMBL1983268,P06753
CHEMBL1983268,P27448
CHEMBL1983268,P31153
CHEMBL1983268,Q96PY6
CHEMBL1983268,Q8TBX8
CHEMBL1983268,Q96L34
CHEMBL1983268,Q9UL54
CHEMBL1983268,O15146
CHEMBL3545376,Q08499
CHEMBL3545376,Q9BY41
CHEMBL3545376,P15207
CHEMBL3545376,P36888
CHEMBL3545376,Q01959
CHEMBL3545376,Q13547
CHEMBL3545376,P06401
CHEMBL3545376,P22455
CHEMBL3545376,P41595
CHEMBL3545376,P35367
CHEMBL3545376,P35968
CHEMBL3545376,Q63921
CHEMBL3545376,P41968
CHEMBL3545376,P23975
CHEMBL3545376,Q92769
CHEMBL3545376,Q9UBN7
CHEMBL3545376,P35462
CHEMBL3545376,P22607
CHEMBL3545376,P11362
CHEMBL3545376,Q14432
CHEMBL3545376,P0DTD1
CHEMBL3545376,P0DMS8
CHEMBL3545376,P21397
CHEMBL3545376,P18825
CHEMBL3545376,P35918
CHEMBL3545376,Q12809
CHEMBL3545376,P31645
CHEMBL3545376,P41143
CHEMBL3545376,P21802
CHEMBL3545376,P11229
CHEMBL395091,P25929
CHEMBL395091,Q08499
CHEMBL395091,Q05586
CHEMBL395091,Q12879
CHEMBL395091,P25021
CHEMBL395091,P08588
CHEMBL395091,P30542
CHEMBL395091,P35354
CHEMBL395091,P32239
CHEMBL395091,P28223
CHEMBL395091,P04150
CHEMBL395091,P07550
CHEMBL395091,P14416
CHEMBL395091,P15207
CHEMBL395091,P21731
CHEMBL395091,Q01959
CHEMBL395091,P03372
CHEMBL395091,P06401
CHEMBL395091,P35348
CHEMBL395091,P18089
CHEMBL395091,P62813
CHEMBL395091,P41595
CHEMBL395091,P35367
CHEMBL395091,P35439
CHEMBL395091,Q00959
CHEMBL395091,Q00960
CHEMBL395091,Q00961
CHEMBL395091,Q62645
CHEMBL395091,Q8VHN2
CHEMBL395091,Q9R1M7
CHEMBL395091,Q63921
CHEMBL395091,P21554
CHEMBL395091,P41968
CHEMBL395091,P30556
CHEMBL395091,P46098
CHEMBL395091,P23975
CHEMBL395091,P28335
CHEMBL395091,O75469
CHEMBL395091,P35462
CHEMBL395091,P35439
CHEMBL395091,Q9Y5N1
CHEMBL395091,P08908
CHEMBL395091,Q01827
CHEMBL395091,P08913
CHEMBL395091,P41145
CHEMBL395091,Q92847
CHEMBL395091,P43681
CHEMBL395091,P21728
CHEMBL395091,Q99808
CHEMBL395091,P37288
CHEMBL395091,O43193
CHEMBL395091,P25101
CHEMBL395091,P08172
CHEMBL395091,P22002
CHEMBL395091,Q14432
CHEMBL395091,P30518
CHEMBL395091,P0DMS8
CHEMBL395091,P20309
CHEMBL395091,P18825
CHEMBL395091,P21397
CHEMBL395091,Q12809
CHEMBL395091,P30411
CHEMBL395091,P32238
CHEMBL395091,P35372
CHEMBL395091,P31645
CHEMBL395091,P41143
CHEMBL395091,P29274
CHEMBL395091,P11229
CHEMBL1287853,Q99755
CHEMBL1287853,Q9HCP0
CHEMBL1287853,P23458
CHEMBL1287853,P06493
CHEMBL1287853,P42338
CHEMBL1287853,Q8IY84
CHEMBL1287853,O96017
CHEMBL1287853,P36894
CHEMBL1287853,P17252
CHEMBL1287853,P06213
CHEMBL1287853,Q96Q40
CHEMBL1287853,P21709
CHEMBL1287853,P08631
CHEMBL1287853,P15056
CHEMBL1287853,P21554
CHEMBL1287853,Q9UGJ0
CHEMBL1287853,O15264
CHEMBL1287853,P12236
CHEMBL1287853,Q7L2E3
CHEMBL1287853,Q99808
CHEMBL1287853,P37288
CHEMBL1287853,Q9NSE4
CHEMBL1287853,Q96S44
CHEMBL1287853,Q9H2K8
CHEMBL1287853,P09619
CHEMBL1287853,Q14683
CHEMBL1287853,O15111
CHEMBL1287853,Q8N752
CHEMBL1287853,Q6P3R8
CHEMBL1287853,P25098
CHEMBL1287853,O95819
CHEMBL1287853,P22830
CHEMBL1287853,P32245
CHEMBL1287853,P24941
CHEMBL1287853,P53779
CHEMBL1287853,O75747
CHEMBL1287853,P51817
CHEMBL1287853,Q9P2R7
CHEMBL1287853,P20794
CHEMBL1287853,Q9P2K8
CHEMBL1287853,Q9UPE1
CHEMBL1287853,P42336
CHEMBL1287853,Q06418
CHEMBL1287853,P21731
CHEMBL1287853,Q9HAZ1
CHEMBL1287853,O94768
CHEMBL1287853,Q6ZSR9
CHEMBL1287853,P33981
CHEMBL1287853,Q9P289
CHEMBL1287853,Q9BYT3
CHEMBL1287853,O14757
CHEMBL1287853,Q92772
CHEMBL1287853,Q7RTN6
CHEMBL1287853,Q9NY57
CHEMBL1287853,Q04912
CHEMBL1287853,P45985
CHEMBL1287853,Q15418
CHEMBL1287853,P52333
CHEMBL1287853,O75582
CHEMBL1287853,P31689
CHEMBL1287853,P49761
CHEMBL1287853,Q32MK0
CHEMBL1287853,P78368
CHEMBL1287853,P49759
CHEMBL1287853,Q14432
CHEMBL1287853,P61075
CHEMBL1287853,Q14012
CHEMBL1287853,Q14164
CHEMBL1287853,Q12851
CHEMBL1287853,P25929
CHEMBL1287853,Q92499
CHEMBL1287853,P09769
CHEMBL1287853,Q07002
CHEMBL1287853,Q9BWU1
CHEMBL1287853,P08588
CHEMBL1287853,P0C1S8
CHEMBL1287853,P12931
CHEMBL1287853,P53778
CHEMBL1287853,P15207
CHEMBL1287853,P48426
CHEMBL1287853,P05141
